r,g,b
239,71,111
255,209,102
6,214,160
38,196,133
50,144,143
252,208,161
177,182,149
178,135,163
192,248,209
189,207,181
201,227,172
144,190,109
58,46,57
244,216,205
237,177,131
241,81,82
147,192,164
234,144,16
55,55,31
237,106,90
87,83,102
110,125,171
87,98,213
209,227,221
240,211,247
243,179,145
246,212,186
254,250,220
254,234,0
63,97,45
142,59,70
225,221,143
224,119,125
76,134,168
42,157,143
58,96,110
96,123,125
130,142,130
170,174,142
240,101,67
232,233,235
224,223,213
49,54,56
240,157,81
74,108,111
132,96,117
175,93,99
43,45,66
146,220,229
93,42,66
251,99,118
252,177,166
255,220,204
79,49,48
170,80,66
216,189,138
216,215,143
255,200,87
120,192,224
211,248,226
228,193,249
246,148,193
237,231,177
159,211,86
68,157,209
21,5,120
14,14,82
57,67,183
219,244,173
169,225,144
205,199,118
165,170,82
118,117,34
245,255,198
180,225,255
171,135,255
72,130,134
183,213,212
255,172,228
193,255,155
248,189,196
244,151,218
237,201,255
119,135,139
48,82,82
55,37,73
119,76,96
183,93,105
254,212,231
45,114,143
59,142,165
244,158,76
171,52,40
92,87,62
242,183,159
229,183,105
216,204,52
207,165,180
46,83,57
201,139,185
132,107,138
