region,date,type,iso_alpha
Afghanistan,1/23/20,0,AFG
Afghanistan,2/2/20,0,AFG
Afghanistan,2/23/20,0,AFG
Afghanistan,2/25/20,0,AFG
Afghanistan,2/27/20,0,AFG
Afghanistan,3/10/20,0,AFG
Afghanistan,3/11/20,0,AFG
Afghanistan,3/12/20,0,AFG
Afghanistan,3/13/20,0,AFG
Afghanistan,3/14/20,0,AFG
Afghanistan,3/15/20,0,AFG
Afghanistan,3/16/20,0,AFG
Afghanistan,3/17/20,0,AFG
Afghanistan,3/18/20,0,AFG
Afghanistan,3/19/20,0,AFG
Afghanistan,3/2/20,0,AFG
Afghanistan,3/20/20,0,AFG
Afghanistan,3/21/20,0,AFG
Afghanistan,3/22/20,0,AFG
Afghanistan,3/23/20,0,AFG
Afghanistan,3/24/20,1,AFG
Afghanistan,3/25/20,1,AFG
Afghanistan,3/26/20,1,AFG
Afghanistan,3/27/20,1,AFG
Afghanistan,3/28/20,1,AFG
Afghanistan,3/29/20,1,AFG
Afghanistan,3/30/20,1,AFG
Afghanistan,3/5/20,1,AFG
Afghanistan,3/6/20,1,AFG
Afghanistan,3/8/20,1,AFG
Afghanistan,3/9/20,1,AFG
Afghanistan,4/2/20,1,AFG
Albania,1/23/20,0,ALB
Albania,2/2/20,0,ALB
Albania,2/23/20,0,ALB
Albania,2/25/20,0,ALB
Albania,2/27/20,0,ALB
Albania,3/10/20,0,ALB
Albania,3/11/20,0,ALB
Albania,3/12/20,0,ALB
Albania,3/13/20,0,ALB
Albania,3/14/20,0,ALB
Albania,3/15/20,0,ALB
Albania,3/16/20,0,ALB
Albania,3/17/20,0,ALB
Albania,3/18/20,0,ALB
Albania,3/19/20,0,ALB
Albania,3/2/20,0,ALB
Albania,3/20/20,0,ALB
Albania,3/21/20,0,ALB
Albania,3/22/20,0,ALB
Albania,3/23/20,0,ALB
Albania,3/24/20,0,ALB
Albania,3/25/20,0,ALB
Albania,3/26/20,0,ALB
Albania,3/27/20,0,ALB
Albania,3/28/20,0,ALB
Albania,3/29/20,0,ALB
Albania,3/30/20,0,ALB
Albania,3/5/20,0,ALB
Albania,3/6/20,0,ALB
Albania,3/8/20,1,ALB
Albania,3/9/20,1,ALB
Albania,4/2/20,1,ALB
Algeria,1/23/20,0,DZA
Algeria,2/2/20,0,DZA
Algeria,2/23/20,0,DZA
Algeria,2/25/20,0,DZA
Algeria,2/27/20,0,DZA
Algeria,3/10/20,0,DZA
Algeria,3/11/20,0,DZA
Algeria,3/12/20,0,DZA
Algeria,3/13/20,0,DZA
Algeria,3/14/20,0,DZA
Algeria,3/15/20,0,DZA
Algeria,3/16/20,0,DZA
Algeria,3/17/20,0,DZA
Algeria,3/18/20,0,DZA
Algeria,3/19/20,0,DZA
Algeria,3/2/20,0,DZA
Algeria,3/20/20,0,DZA
Algeria,3/21/20,0,DZA
Algeria,3/22/20,0,DZA
Algeria,3/23/20,0,DZA
Algeria,3/24/20,1,DZA
Algeria,3/25/20,1,DZA
Algeria,3/26/20,1,DZA
Algeria,3/27/20,1,DZA
Algeria,3/28/20,1,DZA
Algeria,3/29/20,1,DZA
Algeria,3/30/20,1,DZA
Algeria,3/5/20,1,DZA
Algeria,3/6/20,1,DZA
Algeria,3/8/20,1,DZA
Algeria,3/9/20,1,DZA
Algeria,4/2/20,1,DZA
Andorra,1/23/20,0,AND
Andorra,2/2/20,0,AND
Andorra,2/23/20,0,AND
Andorra,2/25/20,0,AND
Andorra,2/27/20,0,AND
Andorra,3/10/20,0,AND
Andorra,3/11/20,0,AND
Andorra,3/12/20,0,AND
Andorra,3/13/20,0,AND
Andorra,3/14/20,0,AND
Andorra,3/15/20,0,AND
Andorra,3/16/20,1,AND
Andorra,3/17/20,1,AND
Andorra,3/18/20,1,AND
Andorra,3/19/20,1,AND
Andorra,3/2/20,1,AND
Andorra,3/20/20,1,AND
Andorra,3/21/20,1,AND
Andorra,3/22/20,1,AND
Andorra,3/23/20,1,AND
Andorra,3/24/20,1,AND
Andorra,3/25/20,1,AND
Andorra,3/26/20,1,AND
Andorra,3/27/20,1,AND
Andorra,3/28/20,1,AND
Andorra,3/29/20,1,AND
Andorra,3/30/20,1,AND
Andorra,3/5/20,1,AND
Andorra,3/6/20,1,AND
Andorra,3/8/20,1,AND
Andorra,3/9/20,1,AND
Andorra,4/2/20,1,AND
Angola,1/23/20,0,AGO
Angola,2/2/20,0,AGO
Angola,2/23/20,0,AGO
Angola,2/25/20,0,AGO
Angola,2/27/20,0,AGO
Angola,3/10/20,0,AGO
Angola,3/11/20,0,AGO
Angola,3/12/20,0,AGO
Angola,3/13/20,0,AGO
Angola,3/14/20,0,AGO
Angola,3/15/20,0,AGO
Angola,3/16/20,0,AGO
Angola,3/17/20,0,AGO
Angola,3/18/20,0,AGO
Angola,3/19/20,0,AGO
Angola,3/2/20,0,AGO
Angola,3/20/20,0,AGO
Angola,3/21/20,0,AGO
Angola,3/22/20,0,AGO
Angola,3/23/20,0,AGO
Angola,3/24/20,1,AGO
Angola,3/25/20,1,AGO
Angola,3/26/20,1,AGO
Angola,3/27/20,1,AGO
Angola,3/28/20,1,AGO
Angola,3/29/20,1,AGO
Angola,3/30/20,1,AGO
Angola,3/5/20,1,AGO
Angola,3/6/20,1,AGO
Angola,3/8/20,1,AGO
Angola,3/9/20,1,AGO
Angola,4/2/20,1,AGO
Argentina,1/23/20,0,ARG
Argentina,2/2/20,0,ARG
Argentina,2/23/20,0,ARG
Argentina,2/25/20,0,ARG
Argentina,2/27/20,0,ARG
Argentina,3/10/20,0,ARG
Argentina,3/11/20,0,ARG
Argentina,3/12/20,0,ARG
Argentina,3/13/20,0,ARG
Argentina,3/14/20,0,ARG
Argentina,3/15/20,0,ARG
Argentina,3/16/20,0,ARG
Argentina,3/17/20,0,ARG
Argentina,3/18/20,0,ARG
Argentina,3/19/20,0,ARG
Argentina,3/2/20,0,ARG
Argentina,3/20/20,1,ARG
Argentina,3/21/20,1,ARG
Argentina,3/22/20,1,ARG
Argentina,3/23/20,1,ARG
Argentina,3/24/20,1,ARG
Argentina,3/25/20,1,ARG
Argentina,3/26/20,1,ARG
Argentina,3/27/20,1,ARG
Argentina,3/28/20,1,ARG
Argentina,3/29/20,1,ARG
Argentina,3/30/20,1,ARG
Argentina,3/5/20,1,ARG
Argentina,3/6/20,1,ARG
Argentina,3/8/20,1,ARG
Argentina,3/9/20,1,ARG
Argentina,4/2/20,1,ARG
Armenia,1/23/20,0,ARM
Armenia,2/2/20,0,ARM
Armenia,2/23/20,0,ARM
Armenia,2/25/20,0,ARM
Armenia,2/27/20,0,ARM
Armenia,3/10/20,0,ARM
Armenia,3/11/20,0,ARM
Armenia,3/12/20,0,ARM
Armenia,3/13/20,0,ARM
Armenia,3/14/20,0,ARM
Armenia,3/15/20,0,ARM
Armenia,3/16/20,0,ARM
Armenia,3/17/20,0,ARM
Armenia,3/18/20,0,ARM
Armenia,3/19/20,0,ARM
Armenia,3/2/20,0,ARM
Armenia,3/20/20,0,ARM
Armenia,3/21/20,0,ARM
Armenia,3/22/20,0,ARM
Armenia,3/23/20,0,ARM
Armenia,3/24/20,1,ARM
Armenia,3/25/20,1,ARM
Armenia,3/26/20,1,ARM
Armenia,3/27/20,1,ARM
Armenia,3/28/20,1,ARM
Armenia,3/29/20,1,ARM
Armenia,3/30/20,1,ARM
Armenia,3/5/20,1,ARM
Armenia,3/6/20,1,ARM
Armenia,3/8/20,1,ARM
Armenia,3/9/20,1,ARM
Armenia,4/2/20,1,ARM
Australia,1/23/20,0,AUS
Australia,2/2/20,0,AUS
Australia,2/23/20,0,AUS
Australia,2/25/20,0,AUS
Australia,2/27/20,0,AUS
Australia,3/10/20,0,AUS
Australia,3/11/20,0,AUS
Australia,3/12/20,0,AUS
Australia,3/13/20,0,AUS
Australia,3/14/20,0,AUS
Australia,3/15/20,0,AUS
Australia,3/16/20,0,AUS
Australia,3/17/20,0,AUS
Australia,3/18/20,0,AUS
Australia,3/19/20,0,AUS
Australia,3/2/20,0,AUS
Australia,3/20/20,0,AUS
Australia,3/21/20,0,AUS
Australia,3/22/20,0,AUS
Australia,3/23/20,0,AUS
Australia,3/24/20,0.5,AUS
Australia,3/25/20,0.5,AUS
Australia,3/26/20,0.5,AUS
Australia,3/27/20,0.5,AUS
Australia,3/28/20,0.5,AUS
Australia,3/29/20,0.5,AUS
Australia,3/30/20,0.5,AUS
Australia,3/5/20,0.5,AUS
Australia,3/6/20,0.5,AUS
Australia,3/8/20,0.5,AUS
Australia,3/9/20,0.5,AUS
Australia,4/2/20,0.5,AUS
Austria,1/23/20,0,AUT
Austria,2/2/20,0,AUT
Austria,2/23/20,0,AUT
Austria,2/25/20,0,AUT
Austria,2/27/20,0,AUT
Austria,3/10/20,0,AUT
Austria,3/11/20,0,AUT
Austria,3/12/20,0,AUT
Austria,3/13/20,0,AUT
Austria,3/14/20,0,AUT
Austria,3/15/20,0,AUT
Austria,3/16/20,1,AUT
Austria,3/17/20,1,AUT
Austria,3/18/20,1,AUT
Austria,3/19/20,1,AUT
Austria,3/2/20,1,AUT
Austria,3/20/20,1,AUT
Austria,3/21/20,1,AUT
Austria,3/22/20,1,AUT
Austria,3/23/20,1,AUT
Austria,3/24/20,1,AUT
Austria,3/25/20,1,AUT
Austria,3/26/20,1,AUT
Austria,3/27/20,1,AUT
Austria,3/28/20,1,AUT
Austria,3/29/20,1,AUT
Austria,3/30/20,1,AUT
Austria,3/5/20,1,AUT
Austria,3/6/20,1,AUT
Austria,3/8/20,1,AUT
Austria,3/9/20,1,AUT
Austria,4/2/20,1,AUT
Azerbaijan,1/23/20,0,AZE
Azerbaijan,2/2/20,0,AZE
Azerbaijan,2/23/20,0,AZE
Azerbaijan,2/25/20,0,AZE
Azerbaijan,2/27/20,0,AZE
Azerbaijan,3/10/20,0,AZE
Azerbaijan,3/11/20,0,AZE
Azerbaijan,3/12/20,0,AZE
Azerbaijan,3/13/20,0,AZE
Azerbaijan,3/14/20,0,AZE
Azerbaijan,3/15/20,0,AZE
Azerbaijan,3/16/20,0,AZE
Azerbaijan,3/17/20,0,AZE
Azerbaijan,3/18/20,0,AZE
Azerbaijan,3/19/20,0,AZE
Azerbaijan,3/2/20,1,AZE
Azerbaijan,3/20/20,1,AZE
Azerbaijan,3/21/20,1,AZE
Azerbaijan,3/22/20,1,AZE
Azerbaijan,3/23/20,1,AZE
Azerbaijan,3/24/20,1,AZE
Azerbaijan,3/25/20,1,AZE
Azerbaijan,3/26/20,1,AZE
Azerbaijan,3/27/20,1,AZE
Azerbaijan,3/28/20,1,AZE
Azerbaijan,3/29/20,1,AZE
Azerbaijan,3/30/20,1,AZE
Azerbaijan,3/5/20,1,AZE
Azerbaijan,3/6/20,1,AZE
Azerbaijan,3/8/20,1,AZE
Azerbaijan,3/9/20,1,AZE
Azerbaijan,4/2/20,1,AZE
Bahamas,1/23/20,0,BHS
Bahamas,2/2/20,0,BHS
Bahamas,2/23/20,0,BHS
Bahamas,2/25/20,0,BHS
Bahamas,2/27/20,0,BHS
Bahamas,3/10/20,0,BHS
Bahamas,3/11/20,0,BHS
Bahamas,3/12/20,0,BHS
Bahamas,3/13/20,0,BHS
Bahamas,3/14/20,0,BHS
Bahamas,3/15/20,0,BHS
Bahamas,3/16/20,0,BHS
Bahamas,3/17/20,0,BHS
Bahamas,3/18/20,0,BHS
Bahamas,3/19/20,0,BHS
Bahamas,3/2/20,0,BHS
Bahamas,3/20/20,1,BHS
Bahamas,3/21/20,1,BHS
Bahamas,3/22/20,1,BHS
Bahamas,3/23/20,1,BHS
Bahamas,3/24/20,1,BHS
Bahamas,3/25/20,1,BHS
Bahamas,3/26/20,1,BHS
Bahamas,3/27/20,1,BHS
Bahamas,3/28/20,1,BHS
Bahamas,3/29/20,1,BHS
Bahamas,3/30/20,1,BHS
Bahamas,3/5/20,1,BHS
Bahamas,3/6/20,1,BHS
Bahamas,3/8/20,1,BHS
Bahamas,3/9/20,1,BHS
Bahamas,4/2/20,1,BHS
Bahrain,1/23/20,0,BHR
Bahrain,2/2/20,0,BHR
Bahrain,2/23/20,0,BHR
Bahrain,2/25/20,1,BHR
Bahrain,2/27/20,1,BHR
Bahrain,3/10/20,1,BHR
Bahrain,3/11/20,1,BHR
Bahrain,3/12/20,1,BHR
Bahrain,3/13/20,1,BHR
Bahrain,3/14/20,1,BHR
Bahrain,3/15/20,1,BHR
