COVID-19 Legislation,Region,Official Description,Source Link,Status Text,Last Timeline Action,Last Timeline Action Date,Internal Quorum Link
"R.C.C.0677: Para establecer que mientras dure la emergencia creada por la pandemia del Covid-19, los bienes que estarán protegidos de embargo, gravamen, congelación, en caso civiles de ejecución de sentencia, o presentaciones de peticiones de quiebra ante el Tribunal Federal de Quiebras, Sala de San Juan, atemperándolo con la legislación vigente sobre hogar seguro, de manera que el consumidor tenga una herramienta adicional en tiempos de crisis económica personal y nacional para proteger sus bienes básicos de subsistencia así como las ayudas gubernamentales que son necesarias para su subsistencia; y para otros fines relacionados.",Puerto Rico,"Para establecer que mientras dure la emergencia creada por la pandemia del Covid-19, los bienes que estarán protegidos de embargo, gravamen, congelación, en caso civiles de ejecución de sentencia, o presentaciones de peticiones de quiebra ante el Tribunal Federal de Quiebras, Sala de San Juan, atemperándolo con la legislación vigente sobre hogar seguro, de manera que el consumidor tenga una herramienta adicional en tiempos de crisis económica personal y nacional para proteger sus bienes básicos de subsistencia así como las ayudas gubernamentales que son necesarias para su subsistencia; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135767,Out of Committee,Referido a Comisión(es),4/28/20,https://quorum.us/bill/2728126
S705: Buncombe County Job Recovery Act.,North Carolina,Buncombe County Job Recovery Act.,https://www.ncleg.gov/BillLookUp/2019/S705,Introduced or Prefiled,Filed,4/28/20,https://quorum.us/bill/2728124
"H.B.2459: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2459,Introduced or Prefiled,PN 3653 Referred to STATE GOVERNMENT,4/28/20,https://quorum.us/bill/2728122
"H.B.2419: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 Cost and Recovery Task Force; and making an appropriation.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 Cost and Recovery Task Force; and making an appropriation.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2419,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2725052
H1037: COVID-19 Health Care Working Group Policy Rec.,North Carolina,COVID-19 Health Care Working Group Policy Rec.,https://www.ncleg.gov/BillLookUp/2019/H1037,Introduced or Prefiled,"Ref to the Com on Health, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728087
"S.C.R.0025: A concurrent resolution to demand that the Governor compile and make publicly available certain data, to reject an extension of the state of emergency or disaster, and to encourage the people of Michigan to continue to practice safe social distancing.",Michigan,"A concurrent resolution to demand that the Governor compile and make publicly available certain data, to reject an extension of the state of emergency or disaster, and to encourage the people of Michigan to continue to practice safe social distancing.",http://legislature.mi.gov/doc.aspx?2020-SCR-0025,Introduced or Prefiled,Introduced By Senator Tom Barrett,4/28/20,https://quorum.us/bill/2728165
S.F.2939: Health boards unnecessary criminal background fee removal,Minnesota,Health boards unnecessary criminal background fee removal,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF2939&ssn=0&y=2019,Passed Original Chamber,"Senate file first reading, referred for comparison HF3028",4/28/20,https://quorum.us/bill/2696081
H1038: COVID-19 Health Care Working Grp Funding Recs.,North Carolina,COVID-19 Health Care Working Grp Funding Recs.,https://www.ncleg.gov/BillLookUp/2019/H1038,Introduced or Prefiled,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728088
"S.B.1108: A Supplement to the act of June 28, 2019 (P.L.839, No. 1A), known at the General Appropriation Act of 2019, adding Federal appropriations to the Executive Department of the Commonwealth for the fiscal year July 1, 2019, to June 30, 2020.",Pennsylvania,"A Supplement to the act of June 28, 2019 (P.L.839, No. 1A), known at the General Appropriation Act of 2019, adding Federal appropriations to the Executive Department of the Commonwealth for the fiscal year July 1, 2019, to June 30, 2020.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1108,Passed Original Chamber,Re-referred to APPROPRIATIONS,4/28/20,https://quorum.us/bill/2724192
H.D.5047: An Act Providing Protection For Police And Fire Municipality Workers In The Covid-19 Emergency,Massachusetts,An Act Providing Protection For Police And Fire Municipality Workers In The Covid-19 Emergency,https://malegislature.gov/Bills/191/HD5047,Introduced or Prefiled,Draft Filed,4/24/20,https://quorum.us/bill/2728079
